District,Year,N
BAGALKOT,1998,5454.77
BAGALKOT,1999,5755.25
BAGALKOT,2000,5415.37
BAGALKOT,2001,5397.39
BAGALKOT,2002,4902.37
BAGALKOT,2003,5142.81
BAGALKOT,2004,5503.64
BAGALKOT,2005,6028.21
BAGALKOT,2006,6575.95
BAGALKOT,2007,6944.54
BAGALKOT,2008,7374.79
BAGALKOT,2009,7475.91
BAGALKOT,2010,7719.13
BAGALKOT,2011,8378.23
BAGALKOT,2012,891.69
BAGALKOT,2013,945.11
BAGALKOT,2014,1001.59
BANGALORE RURAL,1997,5348.43
BANGALORE RURAL,1998,5454.77
BANGALORE RURAL,1999,5755.25
BANGALORE RURAL,2000,5415.37
BANGALORE RURAL,2001,5397.39
BANGALORE RURAL,2002,4902.37
BANGALORE RURAL,2003,5142.81
BANGALORE RURAL,2004,5503.64
BANGALORE RURAL,2005,6028.21
BANGALORE RURAL,2006,6575.95
BANGALORE RURAL,2007,6944.54
BANGALORE RURAL,2008,7374.79
BANGALORE RURAL,2009,7475.91
BANGALORE RURAL,2010,7719.13
BANGALORE RURAL,2011,8378.23
BANGALORE RURAL,2012,891.69
BANGALORE RURAL,2013,945.11
BANGALORE RURAL,2014,1001.59
BELGAUM,1997,5348.43
BELGAUM,1998,5454.77
BELGAUM,1999,5755.25
BELGAUM,2000,5415.37
BELGAUM,2001,5397.39
BELGAUM,2002,4902.37
BELGAUM,2003,5142.81
BELGAUM,2004,5503.64
BELGAUM,2005,6028.21
BELGAUM,2006,6575.95
BELGAUM,2007,6944.54
BELGAUM,2008,7374.79
BELGAUM,2009,7475.91
BELGAUM,2010,7719.13
BELGAUM,2011,8378.23
BELGAUM,2012,891.69
BELGAUM,2013,945.11
BELGAUM,2014,1001.59
BELLARY,1997,5348.43
BELLARY,1998,5454.77
BELLARY,1999,5755.25
BELLARY,2000,5415.37
BELLARY,2001,5397.39
BELLARY,2002,4902.37
BELLARY,2003,5142.81
BELLARY,2004,5503.64
BELLARY,2005,6028.21
BELLARY,2006,6575.95
BELLARY,2007,6944.54
BELLARY,2008,7374.79
BELLARY,2009,7475.91
BELLARY,2010,7719.13
BELLARY,2011,8378.23
BELLARY,2012,891.69
BELLARY,2013,945.11
BELLARY,2014,1001.59
BENGALURU URBAN,1997,5348.43
BENGALURU URBAN,1998,5454.77
BENGALURU URBAN,1999,5755.25
BENGALURU URBAN,2000,5415.37
BENGALURU URBAN,2001,5397.39
BENGALURU URBAN,2002,4902.37
BENGALURU URBAN,2003,5142.81
BENGALURU URBAN,2004,5503.64
BENGALURU URBAN,2005,6028.21
BENGALURU URBAN,2006,6575.95
BENGALURU URBAN,2007,6944.54
BENGALURU URBAN,2008,7374.79
BENGALURU URBAN,2009,7475.91
BENGALURU URBAN,2010,7719.13
BENGALURU URBAN,2011,8378.23
BENGALURU URBAN,2012,891.69
BENGALURU URBAN,2013,945.11
BENGALURU URBAN,2014,1001.59
BIDAR,1997,5348.43
BIDAR,1998,5454.77
BIDAR,1999,5755.25
BIDAR,2000,5415.37
BIDAR,2001,5397.39
BIDAR,2002,4902.37
BIDAR,2003,5142.81
BIDAR,2004,5503.64
BIDAR,2005,6028.21
BIDAR,2006,6575.95
BIDAR,2007,6944.54
BIDAR,2008,7374.79
BIDAR,2009,7475.91
BIDAR,2010,7719.13
BIDAR,2011,8378.23
BIDAR,2012,891.69
BIDAR,2013,945.11
BIDAR,2014,1001.59
BIJAPUR,1997,5348.43
BIJAPUR,1998,5454.77
BIJAPUR,1999,5755.25
BIJAPUR,2000,5415.37
BIJAPUR,2001,5397.39
BIJAPUR,2002,4902.37
BIJAPUR,2003,5142.81
BIJAPUR,2004,5503.64
BIJAPUR,2005,6028.21
BIJAPUR,2006,6575.95
BIJAPUR,2007,6944.54
BIJAPUR,2008,7374.79
BIJAPUR,2009,7475.91
BIJAPUR,2010,7719.13
BIJAPUR,2011,8378.23
BIJAPUR,2012,891.69
BIJAPUR,2013,945.11
BIJAPUR,2014,1001.59
CHAMARAJANAGAR,1998,5454.77
CHAMARAJANAGAR,1999,5755.25
CHAMARAJANAGAR,2000,5415.37
CHAMARAJANAGAR,2001,5397.39
CHAMARAJANAGAR,2002,4902.37
CHAMARAJANAGAR,2003,5142.81
CHAMARAJANAGAR,2004,5503.64
CHAMARAJANAGAR,2005,6028.21
CHAMARAJANAGAR,2006,6575.95
CHAMARAJANAGAR,2007,6944.54
CHAMARAJANAGAR,2008,7374.79
CHAMARAJANAGAR,2009,7475.91
CHAMARAJANAGAR,2010,7719.13
CHAMARAJANAGAR,2011,8378.23
CHAMARAJANAGAR,2012,891.69
CHAMARAJANAGAR,2013,945.11
CHAMARAJANAGAR,2014,1001.59
CHIKBALLAPUR,2007,6944.54
CHIKBALLAPUR,2008,7374.79
CHIKBALLAPUR,2009,7475.91
CHIKBALLAPUR,2010,7719.13
CHIKBALLAPUR,2011,8378.23
CHIKBALLAPUR,2012,891.69
CHIKBALLAPUR,2013,945.11
CHIKBALLAPUR,2014,1001.59
CHIKMAGALUR,1997,5348.43
CHIKMAGALUR,1998,5454.77
CHIKMAGALUR,1999,5755.25
CHIKMAGALUR,2000,5415.37
CHIKMAGALUR,2001,5397.39
CHIKMAGALUR,2002,4902.37
CHIKMAGALUR,2003,5142.81
CHIKMAGALUR,2004,5503.64
CHIKMAGALUR,2005,6028.21
CHIKMAGALUR,2006,6575.95
CHIKMAGALUR,2007,6944.54
CHIKMAGALUR,2008,7374.79
CHIKMAGALUR,2009,7475.91
CHIKMAGALUR,2010,7719.13
CHIKMAGALUR,2011,8378.23
CHIKMAGALUR,2012,891.69
CHIKMAGALUR,2013,945.11
CHIKMAGALUR,2014,1001.59
CHITRADURGA,1997,5348.43
CHITRADURGA,1998,5454.77
CHITRADURGA,1999,5755.25
CHITRADURGA,2000,5415.37
CHITRADURGA,2001,5397.39
CHITRADURGA,2002,4902.37
CHITRADURGA,2003,5142.81
CHITRADURGA,2004,5503.64
CHITRADURGA,2005,6028.21
CHITRADURGA,2006,6575.95
CHITRADURGA,2007,6944.54
CHITRADURGA,2008,7374.79
CHITRADURGA,2009,7475.91
CHITRADURGA,2010,7719.13
CHITRADURGA,2011,8378.23
