District,Year,P
BAGALKOT,1998,1920.79
BAGALKOT,1999,2288.51
BAGALKOT,2000,1884.93
BAGALKOT,2001,1912.93
BAGALKOT,2002,1715.72
BAGALKOT,2003,1696.71
BAGALKOT,2004,1920.96
BAGALKOT,2005,2150.97
BAGALKOT,2006,2674.39
BAGALKOT,2007,2731.08
BAGALKOT,2008,3320.91
BAGALKOT,2009,3886.71
BAGALKOT,2010,4424.2
BAGALKOT,2011,3890.69
BAGALKOT,2012,389.64
BAGALKOT,2013,442.2
BAGALKOT,2014,498.07
BANGALORE RURAL,1997,2052.99
BANGALORE RURAL,1998,1920.79
BANGALORE RURAL,1999,2288.51
BANGALORE RURAL,2000,1884.93
BANGALORE RURAL,2001,1912.93
BANGALORE RURAL,2002,1715.72
BANGALORE RURAL,2003,1696.71
BANGALORE RURAL,2004,1920.96
BANGALORE RURAL,2005,2150.97
BANGALORE RURAL,2006,2674.39
BANGALORE RURAL,2007,2731.08
BANGALORE RURAL,2008,3320.91
BANGALORE RURAL,2009,3886.71
BANGALORE RURAL,2010,4424.2
BANGALORE RURAL,2011,3890.69
BANGALORE RURAL,2012,389.64
BANGALORE RURAL,2013,442.2
BANGALORE RURAL,2014,498.07
BELGAUM,1997,2052.99
BELGAUM,1998,1920.79
BELGAUM,1999,2288.51
BELGAUM,2000,1884.93
BELGAUM,2001,1912.93
BELGAUM,2002,1715.72
BELGAUM,2003,1696.71
BELGAUM,2004,1920.96
BELGAUM,2005,2150.97
BELGAUM,2006,2674.39
BELGAUM,2007,2731.08
BELGAUM,2008,3320.91
BELGAUM,2009,3886.71
BELGAUM,2010,4424.2
BELGAUM,2011,3890.69
BELGAUM,2012,389.64
BELGAUM,2013,442.2
BELGAUM,2014,498.07
BELLARY,1997,2052.99
BELLARY,1998,1920.79
BELLARY,1999,2288.51
BELLARY,2000,1884.93
BELLARY,2001,1912.93
BELLARY,2002,1715.72
BELLARY,2003,1696.71
BELLARY,2004,1920.96
BELLARY,2005,2150.97
BELLARY,2006,2674.39
BELLARY,2007,2731.08
BELLARY,2008,3320.91
BELLARY,2009,3886.71
BELLARY,2010,4424.2
BELLARY,2011,3890.69
BELLARY,2012,389.64
BELLARY,2013,442.2
BELLARY,2014,498.07
BENGALURU URBAN,1997,2052.99
BENGALURU URBAN,1998,1920.79
BENGALURU URBAN,1999,2288.51
BENGALURU URBAN,2000,1884.93
BENGALURU URBAN,2001,1912.93
BENGALURU URBAN,2002,1715.72
BENGALURU URBAN,2003,1696.71
BENGALURU URBAN,2004,1920.96
BENGALURU URBAN,2005,2150.97
BENGALURU URBAN,2006,2674.39
BENGALURU URBAN,2007,2731.08
BENGALURU URBAN,2008,3320.91
BENGALURU URBAN,2009,3886.71
BENGALURU URBAN,2010,4424.2
BENGALURU URBAN,2011,3890.69
BENGALURU URBAN,2012,389.64
BENGALURU URBAN,2013,442.2
BENGALURU URBAN,2014,498.07
BIDAR,1997,2052.99
BIDAR,1998,1920.79
BIDAR,1999,2288.51
BIDAR,2000,1884.93
BIDAR,2001,1912.93
BIDAR,2002,1715.72
BIDAR,2003,1696.71
BIDAR,2004,1920.96
BIDAR,2005,2150.97
BIDAR,2006,2674.39
BIDAR,2007,2731.08
BIDAR,2008,3320.91
BIDAR,2009,3886.71
BIDAR,2010,4424.2
BIDAR,2011,3890.69
BIDAR,2012,389.64
BIDAR,2013,442.2
BIDAR,2014,498.07
BIJAPUR,1997,2052.99
BIJAPUR,1998,1920.79
BIJAPUR,1999,2288.51
BIJAPUR,2000,1884.93
BIJAPUR,2001,1912.93
BIJAPUR,2002,1715.72
BIJAPUR,2003,1696.71
BIJAPUR,2004,1920.96
BIJAPUR,2005,2150.97
BIJAPUR,2006,2674.39
BIJAPUR,2007,2731.08
BIJAPUR,2008,3320.91
BIJAPUR,2009,3886.71
BIJAPUR,2010,4424.2
BIJAPUR,2011,3890.69
BIJAPUR,2012,389.64
BIJAPUR,2013,442.2
BIJAPUR,2014,498.07
CHAMARAJANAGAR,1998,1920.79
CHAMARAJANAGAR,1999,2288.51
CHAMARAJANAGAR,2000,1884.93
CHAMARAJANAGAR,2001,1912.93
CHAMARAJANAGAR,2002,1715.72
CHAMARAJANAGAR,2003,1696.71
CHAMARAJANAGAR,2004,1920.96
CHAMARAJANAGAR,2005,2150.97
CHAMARAJANAGAR,2006,2674.39
CHAMARAJANAGAR,2007,2731.08
CHAMARAJANAGAR,2008,3320.91
CHAMARAJANAGAR,2009,3886.71
CHAMARAJANAGAR,2010,4424.2
CHAMARAJANAGAR,2011,3890.69
CHAMARAJANAGAR,2012,389.64
CHAMARAJANAGAR,2013,442.2
CHAMARAJANAGAR,2014,498.07
CHIKBALLAPUR,2007,2731.08
CHIKBALLAPUR,2008,3320.91
CHIKBALLAPUR,2009,3886.71
CHIKBALLAPUR,2010,4424.2
CHIKBALLAPUR,2011,3890.69
CHIKBALLAPUR,2012,389.64
CHIKBALLAPUR,2013,442.2
CHIKBALLAPUR,2014,498.07
CHIKMAGALUR,1997,2052.99
CHIKMAGALUR,1998,1920.79
CHIKMAGALUR,1999,2288.51
CHIKMAGALUR,2000,1884.93
CHIKMAGALUR,2001,1912.93
CHIKMAGALUR,2002,1715.72
CHIKMAGALUR,2003,1696.71
CHIKMAGALUR,2004,1920.96
CHIKMAGALUR,2005,2150.97
CHIKMAGALUR,2006,2674.39
CHIKMAGALUR,2007,2731.08
CHIKMAGALUR,2008,3320.91
CHIKMAGALUR,2009,3886.71
CHIKMAGALUR,2010,4424.2
CHIKMAGALUR,2011,3890.69
CHIKMAGALUR,2012,389.64
CHIKMAGALUR,2013,442.2
CHIKMAGALUR,2014,498.07
