District,Year,Rainfall
BAGALKOT,1998,595.1
BAGALKOT,1999,778.3
BAGALKOT,2000,747.4
BAGALKOT,2001,572.3
BAGALKOT,2002,708.4
BAGALKOT,2003,473.5
BAGALKOT,2004,552.4
BAGALKOT,2005,1093.7
BAGALKOT,2006,578.6
BAGALKOT,2007,722.1
BAGALKOT,2008,620.4
BAGALKOT,2009,824.8
BAGALKOT,2010,691.6
BAGALKOT,2011,913.5
BAGALKOT,2012,585.7
BAGALKOT,2013,620.4
BAGALKOT,2014,824.8
BANGALORE RURAL,1997,741.3
BANGALORE RURAL,1998,808.6
BANGALORE RURAL,1999,808.3
BANGALORE RURAL,2000,890.8
BANGALORE RURAL,2001,632.8
BANGALORE RURAL,2002,491
BANGALORE RURAL,2003,559.1
BANGALORE RURAL,2004,621.8
BANGALORE RURAL,2005,954
BANGALORE RURAL,2006,573.3
BANGALORE RURAL,2007,863.7
BANGALORE RURAL,2008,731.7
BANGALORE RURAL,2009,824
BANGALORE RURAL,2010,743.5
BANGALORE RURAL,2011,657.9
BANGALORE RURAL,2012,544.6
BANGALORE RURAL,2013,754.6
BANGALORE RURAL,2014,840.7
BELGAUM,1997,725.1
BELGAUM,1998,691.6
BELGAUM,1999,470.4
BELGAUM,2000,541.2
BELGAUM,2001,495.5
BELGAUM,2002,351.5
BELGAUM,2003,354.8
BELGAUM,2004,400.7
BELGAUM,2005,604.7
BELGAUM,2006,383.4
BELGAUM,2007,506.4
BELGAUM,2008,434.9
BELGAUM,2009,654.7
BELGAUM,2010,602.3
BELGAUM,2011,445.2
BELGAUM,2012,384.4
BELGAUM,2013,536.6
BELGAUM,2014,512.4
BELLARY,1997,725.1
BELLARY,1998,691.6
BELLARY,1999,470.4
BELLARY,2000,541.2
BELLARY,2001,495.5
BELLARY,2002,351.5
BELLARY,2003,354.8
BELLARY,2004,400.7
BELLARY,2005,604.7
BELLARY,2006,383.4
BELLARY,2007,506.4
BELLARY,2008,434.9
BELLARY,2009,654.7
BELLARY,2010,602.3
BELLARY,2011,445.2
BELLARY,2012,384.4
BELLARY,2013,536.6
BELLARY,2014,512.4
BENGALURU URBAN,1997,741.3
BENGALURU URBAN,1998,808.6
BENGALURU URBAN,1999,808.3
BENGALURU URBAN,2000,890.8
