state,district,year,month,rain
Maharashtra,Akola,2010,January,15.8
Maharashtra,Akola,2010,February,0
Maharashtra,Akola,2010,March,3.3
Maharashtra,Akola,2010,April,0
Maharashtra,Akola,2010,May,41.5
Maharashtra,Akola,2010,June,65.9
Maharashtra,Akola,2010,July,154.8
Maharashtra,Akola,2010,August,104
Maharashtra,Akola,2010,September,74
Maharashtra,Akola,2010,October,23.1
Maharashtra,Akola,2010,November,31
Maharashtra,Akola,2010,December,0
Maharashtra,Akola,2011,January,35.5
Maharashtra,Akola,2011,February,6.4
Maharashtra,Akola,2011,March,27.6
Maharashtra,Akola,2011,April,5.4
Maharashtra,Akola,2011,May,2.9
Maharashtra,Akola,2011,June,36.2
Maharashtra,Akola,2011,July,251.8
Maharashtra,Akola,2011,August,249.8
Maharashtra,Akola,2011,September,224.3
Maharashtra,Akola,2011,October,49.9
Maharashtra,Akola,2011,November,0
Maharashtra,Akola,2011,December,0
Maharashtra,Akola,2012,January,0
Maharashtra,Akola,2012,February,0
Maharashtra,Akola,2012,March,144.2
Maharashtra,Akola,2012,April,0
Maharashtra,Akola,2012,May,56
Maharashtra,Akola,2012,June,103.1
Maharashtra,Akola,2012,July,261.1
Maharashtra,Akola,2012,August,368.7
Maharashtra,Akola,2012,September,205.8
Maharashtra,Akola,2012,October,47.7
Maharashtra,Akola,2012,November,8.7
Maharashtra,Akola,2012,December,0
Maharashtra,Akola,2013,January,0
Maharashtra,Akola,2013,February,0
Maharashtra,Akola,2013,March,0
Maharashtra,Akola,2013,April,12
Maharashtra,Akola,2013,May,0
Maharashtra,Akola,2013,June,130.9
Maharashtra,Akola,2013,July,321.5
Maharashtra,Akola,2013,August,228
Maharashtra,Akola,2013,September,218.2
Maharashtra,Akola,2013,October,0
Maharashtra,Akola,2013,November,4.6
Maharashtra,Akola,2013,December,0
Maharashtra,Akola,2014,January,14.3
Maharashtra,Akola,2014,February,0
Maharashtra,Akola,2014,March,29
Maharashtra,Akola,2014,April,0
Maharashtra,Akola,2014,May,0
Maharashtra,Akola,2014,June,79.5
Maharashtra,Akola,2014,July,124.8
Maharashtra,Akola,2014,August,115.9
Maharashtra,Akola,2014,September,217
Maharashtra,Akola,2014,October,9.9
Maharashtra,Akola,2014,November,3
Maharashtra,Akola,2014,December,0
Maharashtra,Akola,2015,January,0
Maharashtra,Akola,2015,February,0
Maharashtra,Akola,2015,March,6.5
Maharashtra,Akola,2015,April,0.2
Maharashtra,Akola,2015,May,44.8
Maharashtra,Akola,2015,June,81
Maharashtra,Akola,2015,July,249.2
Maharashtra,Akola,2015,August,171.6
Maharashtra,Akola,2015,September,86.2
Maharashtra,Akola,2015,October,43.9
Maharashtra,Akola,2015,November,111.9
Maharashtra,Akola,2015,December,8.7
Maharashtra,Akola,2016,January,29.6
Maharashtra,Akola,2016,February,2
Maharashtra,Akola,2016,March,11.5
Maharashtra,Akola,2016,April,1
Maharashtra,Akola,2016,May,0.5
Maharashtra,Akola,2016,June,100
Maharashtra,Akola,2016,July,354.6
Maharashtra,Akola,2016,August,263.9
Maharashtra,Akola,2016,September,82.1
Maharashtra,Akola,2016,October,51.4
Maharashtra,Akola,2016,November,46.7
Maharashtra,Akola,2016,December,0
Maharashtra,Amraoti,2010,January,18.7
Maharashtra,Amraoti,2010,February,0
Maharashtra,Amraoti,2010,March,0
Maharashtra,Amraoti,2010,April,0
Maharashtra,Amraoti,2010,May,9.3
Maharashtra,Amraoti,2010,June,90
Maharashtra,Amraoti,2010,July,161.3
Maharashtra,Amraoti,2010,August,230.2
Maharashtra,Amraoti,2010,September,80
Maharashtra,Amraoti,2010,October,34.9
Maharashtra,Amraoti,2010,November,29
Maharashtra,Amraoti,2010,December,0
Maharashtra,Amraoti,2011,January,10.7
Maharashtra,Amraoti,2011,February,6.4
Maharashtra,Amraoti,2011,March,32.3
Maharashtra,Amraoti,2011,April,11.5
Maharashtra,Amraoti,2011,May,0
Maharashtra,Amraoti,2011,June,96.6
Maharashtra,Amraoti,2011,July,250.1
Maharashtra,Amraoti,2011,August,183.5
Maharashtra,Amraoti,2011,September,232.1
Maharashtra,Amraoti,2011,October,61.3
Maharashtra,Amraoti,2011,November,0
Maharashtra,Amraoti,2011,December,0
Maharashtra,Amraoti,2012,January,0
Maharashtra,Amraoti,2012,February,0
Maharashtra,Amraoti,2012,March,118.8
Maharashtra,Amraoti,2012,April,23.4
Maharashtra,Amraoti,2012,May,23
Maharashtra,Amraoti,2012,June,66.7
Maharashtra,Amraoti,2012,July,260.8
Maharashtra,Amraoti,2012,August,327.6
Maharashtra,Amraoti,2012,September,138.1
Maharashtra,Amraoti,2012,October,43.9
Maharashtra,Amraoti,2012,November,4.7
Maharashtra,Amraoti,2012,December,0
Maharashtra,Amraoti,2013,January,0
Maharashtra,Amraoti,2013,February,4.2
Maharashtra,Amraoti,2013,March,13.4
Maharashtra,Amraoti,2013,April,3.6
Maharashtra,Amraoti,2013,May,16
Maharashtra,Amraoti,2013,June,214.3
Maharashtra,Amraoti,2013,July,357.8
Maharashtra,Amraoti,2013,August,261.3
Maharashtra,Amraoti,2013,September,227.1
Maharashtra,Amraoti,2013,October,0
Maharashtra,Amraoti,2013,November,0
Maharashtra,Amraoti,2013,December,0
Maharashtra,Amraoti,2014,January,0
Maharashtra,Amraoti,2014,February,0
Maharashtra,Amraoti,2014,March,8
Maharashtra,Amraoti,2014,April,9
