N,P,K,ph,ec,fertility
138,8.6,560,7.46,0.62,0
213,7.5,338,7.62,0.75,0
163,9.6,718,7.59,0.51,0
157,6.8,475,7.64,0.58,0
270,9.9,444,7.63,0.4,1
220,8.6,444,7.43,0.65,0
220,7.2,222,7.62,0.43,0
207,7,401,7.63,0.59,0
289,8.6,560,7.58,0.44,1
138,8.1,739,7.55,0.33,0
151,8.1,549,7.59,0.45,0
144,7.2,306,7.53,0.73,0
138,5.3,444,7.68,0.6,0
144,8.3,549,7.45,0.53,0
201,7.7,676,7.39,0.77,0
182,9.2,718,7.47,0.34,0
238,7.5,771,7.38,0.88,0
270,8.1,655,7.45,0.55,1
213,6.1,803,7.38,0.78,0
245,8.1,560,7.31,0.63,0
282,8.3,454,7.43,0.62,1
213,8.3,676,7.36,0.51,0
207,9.4,127,7.62,0.68,0
307,8.3,11,7.49,0.84,1
207,7.2,496,7.55,0.61,0
201,5.5,359,7.44,0.76,0
364,7.5,507,7.63,0.52,1
220,8.3,560,7.42,0.63,0
245,8.3,560,7.58,0.74,0
207,7.7,676,7.41,0.42,0
276,8.3,401,7.34,0.53,1
207,5,560,7.4,0.84,0
245,5.7,465,7.29,0.63,0
169,8.1,549,8.23,0.58,0
182,5,560,7.62,0.52,0
220,8.3,760,7.48,0.59,0
138,5.7,401,7.42,0.72,0
238,8.3,697,7.59,0.43,0
151,8.1,517,7.46,0.43,0
207,7.9,612,7.44,0.55,0
138,8.3,581,7.63,0.86,0
182,10.7,708,7.48,0.57,0
138,7.5,612,7.54,0.72,0
207,8.3,370,7.52,0.44,0
295,8.6,676,7.41,0.48,1
289,5.7,338,7.64,0.57,1
207,7,444,7.55,0.57,0
138,8.1,718,7.48,0.63,0
138,8.3,454,7.65,0.58,0
82,7.9,496,7.37,0.51,0
107,8.3,612,7.43,0.43,0
38,7,370,7.57,0.42,0
88,7.2,655,7.46,0.44,0
19,5.3,708,7.38,0.29,0
56,7.7,444,7.32,0.67,0
50,8.3,475,7.36,0.34,0
38,7.5,454,7.4,0.48,0
25,8.1,591,7.33,0.43,0
82,7.2,507,7.63,0.44,0
88,7.7,708,7.52,0.37,0
144,7.2,623,7.57,0.54,0
213,8.6,718,7.59,0.68,0
282,5.7,454,7.48,0.46,1
264,9.4,475,7.52,0.43,1
301,7,507,7.46,0.42,1
226,7.5,348,7.62,0.31,0
307,5,327,7.58,0.56,1
326,5.9,517,7.41,0.32,1
251,5,391,7.59,0.62,1
213,4.8,444,7.55,0.47,0
195,5.5,507,7.57,0.37,0
